"ID","Registry name","Temp.","RainType","Downfall","BiomeTypes","BiomeDictionary Types"
32,"minecraft:jagged_peaks",-0.70,snow,"0.90","","COLD, MOUNTAIN, OVERWORLD, PEAK, SNOWY, SPARSE"
33,"minecraft:stony_peaks",1.00,rain,"0.30","","HOT, MOUNTAIN, OVERWORLD, PEAK"
34,"minecraft:river",0.50,rain,"0.50","","OVERWORLD, RIVER, WATER"
35,"minecraft:frozen_river",0.00,snow,"0.50","","COLD, OVERWORLD, RIVER, SNOWY, WATER"
36,"minecraft:beach",0.80,rain,"0.40","","BEACH, OVERWORLD"
37,"minecraft:snowy_beach",0.05,snow,"0.30","","BEACH, COLD, OVERWORLD, SNOWY"
38,"minecraft:stony_shore",0.60,rain,"0.30","","BEACH, OVERWORLD"
39,"minecraft:warm_ocean",0.50,rain,"0.50","","HOT, OCEAN, OVERWORLD, WATER"
40,"minecraft:lukewarm_ocean",0.50,rain,"0.50","","OCEAN, OVERWORLD, WATER"
41,"minecraft:deep_lukewarm_ocean",0.50,rain,"0.50","","OCEAN, OVERWORLD, WATER"
42,"minecraft:ocean",0.50,rain,"0.50","","OCEAN, OVERWORLD, WATER"
43,"minecraft:deep_ocean",0.50,rain,"0.50","","OCEAN, OVERWORLD, WATER"
44,"minecraft:cold_ocean",0.50,rain,"0.50","","COLD, OCEAN, OVERWORLD, WATER"
45,"minecraft:deep_cold_ocean",0.50,rain,"0.50","","COLD, OCEAN, OVERWORLD, WATER"
46,"minecraft:frozen_ocean",0.00,snow,"0.50","","COLD, OCEAN, OVERWORLD, SNOWY, WATER"
47,"minecraft:deep_frozen_ocean",0.00,rain,"0.50","","COLD, OCEAN, OVERWORLD, WATER"
48,"minecraft:mushroom_fields",0.90,rain,"1.00","","MUSHROOM, OVERWORLD, RARE"
49,"minecraft:dripstone_caves",0.80,rain,"0.40","","OVERWORLD, SPARSE, UNDERGROUND"
50,"minecraft:lush_caves",0.50,rain,"0.50","","LUSH, OVERWORLD, UNDERGROUND, WET"
51,"minecraft:nether_wastes",2.00,-,"0.00","","DRY, HOT, NETHER"
52,"minecraft:warped_forest",2.00,-,"0.00","","DRY, FOREST, HOT, NETHER"
53,"minecraft:crimson_forest",2.00,-,"0.00","","DRY, FOREST, HOT, NETHER"
54,"minecraft:soul_sand_valley",2.00,-,"0.00","","DRY, HOT, NETHER"
55,"minecraft:basalt_deltas",2.00,-,"0.00","","DRY, HOT, NETHER"
56,"minecraft:the_end",0.50,-,"0.50","","COLD, DRY, END"
57,"minecraft:end_highlands",0.50,-,"0.50","","END"
58,"minecraft:end_midlands",0.50,-,"0.50","","END"
59,"minecraft:small_end_islands",0.50,-,"0.50","","END"
60,"minecraft:end_barrens",0.50,-,"0.50","","END"
61,"wildbackport:mangrove_swamp",0.80,rain,"0.90","",""
62,"wildbackport:deep_dark",0.80,rain,"0.40","",""
63,"blueprint:original_source_marker",0.50,-,"0.50","",""
64,"terrablender:deferred_placeholder",0.50,-,"0.50","",""
65,"biomesoplenty:bamboo_grove",0.60,rain,"0.90","","FOREST, LUSH, OVERWORLD, RARE, WET"
66,"biomesoplenty:bayou",0.95,rain,"0.90","","HOT, OVERWORLD, SWAMP, WET"
67,"biomesoplenty:bog",0.20,rain,"0.50","","COLD, OVERWORLD, SPARSE, SWAMP, WET"
68,"biomesoplenty:boreal_forest",0.40,rain,"0.80","","FOREST, OVERWORLD"
69,"biomesoplenty:cherry_blossom_grove",0.60,rain,"0.90","","FOREST, LUSH, OVERWORLD, RARE, WET"
70,"biomesoplenty:clover_patch",0.60,rain,"0.70","","LUSH, OVERWORLD, PLAINS, SPARSE, WET"
71,"biomesoplenty:cold_desert",0.25,-,"0.00","","COLD, DRY, OVERWORLD, SNOWY, SPARSE"
72,"biomesoplenty:coniferous_forest",0.45,rain,"0.50","","CONIFEROUS, DENSE, FOREST, OVERWORLD"
73,"biomesoplenty:crag",0.60,rain,"0.60","","MOUNTAIN, OVERWORLD, SPARSE, WASTELAND"
74,"biomesoplenty:dead_forest",0.20,rain,"0.30","","COLD, DEAD, FOREST, OVERWORLD, RARE, SPARSE"
75,"biomesoplenty:dryland",0.85,-,"0.05","","DRY, HOT, OVERWORLD, SANDY, SAVANNA, SPARSE"
76,"biomesoplenty:dune_beach",0.70,rain,"0.40","","BEACH, LUSH, OVERWORLD"
77,"biomesoplenty:field",0.40,rain,"0.70","","CONIFEROUS, FOREST, OVERWORLD, WET"
78,"biomesoplenty:fir_clearing",0.45,rain,"0.50","","CONIFEROUS, FOREST, OVERWORLD, SPARSE"
79,"biomesoplenty:floodplain",1.20,rain,"2.00","","HOT, JUNGLE, LUSH, OVERWORLD, SWAMP, WET"
80,"biomesoplenty:forested_field",0.40,rain,"0.70","","CONIFEROUS, FOREST, OVERWORLD, WET"
81,"biomesoplenty:fungal_jungle",0.90,rain,"0.90","","HOT, JUNGLE, LUSH, MAGICAL, MUSHROOM, OVERWORLD, RARE, WET"
82,"biomesoplenty:grassland",0.60,rain,"0.70","","OVERWORLD, PLAINS, SPARSE, WET"
83,"biomesoplenty:highland",0.60,rain,"0.60","","MOUNTAIN, OVERWORLD, PLAINS, SPARSE"
84,"biomesoplenty:highland_moor",0.60,rain,"0.60","","MOUNTAIN, OVERWORLD, SPARSE, SWAMP, WET"
85,"biomesoplenty:jade_cliffs",0.80,rain,"0.85","","CONIFEROUS, FOREST, MAGICAL, MOUNTAIN, OVERWORLD, RARE"
86,"biomesoplenty:lavender_field",0.80,rain,"0.70","","LUSH, OVERWORLD, PLAINS"
87,"biomesoplenty:lavender_forest",0.80,rain,"0.70","","DENSE, FOREST, LUSH, OVERWORLD"
88,"biomesoplenty:lush_desert",0.90,rain,"0.50","","HOT, LUSH, OVERWORLD, RARE, SANDY, SAVANNA, SPARSE"
89,"biomesoplenty:lush_savanna",0.90,rain,"0.50","","HOT, LUSH, OVERWORLD, PLAINS, RARE, SAVANNA, SPARSE"
90,"biomesoplenty:maple_woods",0.25,rain,"0.50","","COLD, CONIFEROUS, DENSE, FOREST, OVERWORLD"
91,"biomesoplenty:marsh",0.65,rain,"0.70","","OVERWORLD, SPARSE, SWAMP, WET"
92,"biomesoplenty:mediterranean_forest",0.80,rain,"0.28","","FOREST, HILLS, OVERWORLD"
93,"biomesoplenty:muskeg",-0.25,snow,"0.60","","COLD, DEAD, OVERWORLD, RARE, SNOWY, SPARSE, SWAMP, WET"
94,"biomesoplenty:mystic_grove",0.70,rain,"0.80","","FOREST, LUSH, MAGICAL, OVERWORLD, RARE, WET"
95,"biomesoplenty:old_growth_dead_forest",0.30,rain,"0.30","","COLD, DEAD, FOREST, OVERWORLD, RARE"
96,"biomesoplenty:old_growth_woodland",0.80,rain,"0.50","","DENSE, FOREST, OVERWORLD"
97,"biomesoplenty:ominous_woods",0.60,rain,"0.60","","COLD, CONIFEROUS, FOREST, OVERWORLD, RARE, SPOOKY, WET"
98,"biomesoplenty:orchard",0.80,rain,"0.40","","FOREST, LUSH, OVERWORLD, PLAINS, SPARSE"
99,"biomesoplenty:origin_valley",0.60,rain,"0.60","","OVERWORLD, RARE"
100,"biomesoplenty:pasture",0.80,rain,"0.30","","DRY, OVERWORLD, PLAINS"
101,"biomesoplenty:prairie",0.80,rain,"0.30","","DRY, OVERWORLD, PLAINS, SPARSE"
102,"biomesoplenty:pumpkin_patch",0.40,rain,"0.80","","FOREST, OVERWORLD, SPARSE"
103,"biomesoplenty:rainbow_hills",-0.25,snow,"0.50","","COLD, DENSE, FOREST, MAGICAL, OVERWORLD, SNOWY"
104,"biomesoplenty:rainforest",1.20,rain,"2.00","","DENSE, FOREST, HOT, JUNGLE, LUSH, OVERWORLD, WET"
105,"biomesoplenty:redwood_forest",0.80,rain,"0.60","","DENSE, FOREST, OVERWORLD"
106,"biomesoplenty:rocky_rainforest",1.20,rain,"2.00","","DENSE, HOT, JUNGLE, LUSH, OVERWORLD, PLATEAU, WET"
107,"biomesoplenty:rocky_shrubland",0.60,rain,"0.05","","HILLS, OVERWORLD, PLAINS"
108,"biomesoplenty:scrubland",1.10,-,"0.15","","DRY, HOT, OVERWORLD, SAVANNA, SPARSE"
109,"biomesoplenty:seasonal_forest",0.40,rain,"0.80","","FOREST, OVERWORLD"
110,"biomesoplenty:shrubland",0.60,rain,"0.05","","OVERWORLD, PLAINS, SPARSE"
111,"biomesoplenty:snowy_coniferous_forest",-0.25,rain,"0.50","","COLD, CONIFEROUS, FOREST, OVERWORLD, SNOWY"
112,"biomesoplenty:snowy_fir_clearing",-0.25,snow,"0.50","","COLD, CONIFEROUS, FOREST, OVERWORLD, SNOWY, SPARSE"
113,"biomesoplenty:snowy_maple_woods",-0.25,snow,"0.50","","COLD, CONIFEROUS, DENSE, FOREST, OVERWORLD, SNOWY"
114,"biomesoplenty:tropics",0.95,rain,"1.00","","HOT, JUNGLE, LUSH, OVERWORLD, RARE, WET"
115,"biomesoplenty:tundra",0.20,rain,"0.50","","COLD, DEAD, OVERWORLD, PLAINS, SPARSE"
116,"biomesoplenty:volcanic_plains",0.95,-,"0.30","","BEACH, HOT, OVERWORLD, RARE, SPARSE, WASTELAND"
117,"biomesoplenty:volcano",0.95,-,"0.30","","DEAD, DRY, HOT, MOUNTAIN, OVERWORLD, RARE, SPARSE, WASTELAND"
118,"biomesoplenty:wasteland",2.00,-,"0.00","","DEAD, DRY, HOT, OVERWORLD, RARE, SAVANNA, SPARSE, WASTELAND"
119,"biomesoplenty:wetland",0.60,rain,"0.70","","FOREST, OVERWORLD, SWAMP, WET"
120,"biomesoplenty:wooded_scrubland",1.10,-,"0.15","","HOT, OVERWORLD, SAVANNA, SPARSE"
121,"biomesoplenty:wooded_wasteland",2.00,-,"0.00","","DEAD, DRY, HOT, OVERWORLD, RARE, SAVANNA, SPARSE, WASTELAND"
122,"biomesoplenty:woodland",0.80,rain,"0.50","","FOREST, OVERWORLD"
123,"biomesoplenty:glowing_grotto",0.50,rain,"0.50","","OVERWORLD, RARE"
124,"biomesoplenty:spider_nest",0.50,rain,"0.50","","OVERWORLD, SPOOKY"
125,"biomesoplenty:crystalline_chasm",2.00,-,"0.00","","DRY, HOT, MAGICAL, NETHER"
126,"biomesoplenty:erupting_inferno",2.00,-,"0.00","","DRY, HOT, NETHER"
127,"biomesoplenty:undergrowth",2.00,-,"0.00","","DRY, FOREST, HOT, NETHER"
128,"biomesoplenty:visceral_heap",2.00,-,"0.00","","DRY, HOT, NETHER"
129,"biomesoplenty:withered_abyss",2.00,-,"0.00","","DRY, HOT, NETHER, VOID"
130,"atmospheric:rainforest",0.90,rain,"0.95","","FOREST, JUNGLE, OVERWORLD"
131,"atmospheric:sparse_rainforest",0.90,rain,"0.95","","FOREST, JUNGLE, OVERWORLD"
132,"atmospheric:rainforest_basin",0.90,rain,"0.95","","FOREST, JUNGLE, OVERWORLD, WET"
133,"atmospheric:sparse_rainforest_basin",0.90,rain,"0.95","","FOREST, JUNGLE, OVERWORLD, WET"
134,"atmospheric:dunes",2.00,-,"0.00","","DRY, HOT, OVERWORLD, SANDY"
135,"atmospheric:flourishing_dunes",2.00,-,"0.00","","DRY, HOT, LUSH, OVERWORLD, RARE, SANDY"
136,"atmospheric:rocky_dunes",2.00,-,"0.00","","DRY, HOT, OVERWORLD, SANDY, WASTELAND"
137,"atmospheric:petrified_dunes",2.00,-,"0.00","","DRY, HOT, OVERWORLD, RARE, SANDY, WASTELAND"
138,"atmospheric:hot_springs",0.25,-,"0.40","","CONIFEROUS, OVERWORLD, RARE, WET"
139,"byg:allium_fields",0.80,rain,"0.40","","LUSH, OVERWORLD, PLAINS, RARE"
140,"byg:amaranth_fields",0.80,rain,"0.40","","LUSH, OVERWORLD, PLAINS, RARE"
141,"byg:araucaria_savanna",1.20,-,"0.00","","FOREST, OVERWORLD"
142,"byg:aspen_forest",0.70,rain,"0.60","","FOREST, OVERWORLD"
143,"byg:atacama_desert",2.00,-,"0.00","",""
144,"byg:autumnal_valley",0.35,rain,"0.80","","DRY, OVERWORLD, PLAINS"
145,"byg:baobab_savanna",1.20,-,"0.00","","DRY, OVERWORLD, SAVANNA, SPARSE"
146,"byg:bayou",0.80,rain,"0.80","","FOREST, OVERWORLD, SWAMP, WET"
147,"byg:black_forest",0.25,rain,"0.80","","DENSE, OVERWORLD, PLATEAU"
148,"byg:borealis_grove",0.25,rain,"0.50","","FOREST, OVERWORLD"
149,"byg:canadian_shield",0.25,snow,"0.50","","COLD, CONIFEROUS, MOUNTAIN, OVERWORLD"
150,"byg:cherry_blossom_forest",0.70,rain,"0.80","","FOREST, OVERWORLD"
151,"byg:cika_woods",0.35,rain,"0.50","","COLD, CONIFEROUS, FOREST, OVERWORLD"
152,"byg:coniferous_forest",0.25,rain,"0.80","","COLD, CONIFEROUS, FOREST, OVERWORLD"
153,"byg:crag_gardens",1.00,rain,"0.80","","JUNGLE, MAGICAL, OVERWORLD, PLATEAU, RARE, WET"
154,"byg:cypress_swamplands",0.25,rain,"0.80","","OVERWORLD, SWAMP"
155,"byg:lush_stacks",1.00,rain,"0.80","","OCEAN, OVERWORLD, SPOOKY, WASTELAND, WATER"
156,"byg:dead_sea",2.00,rain,"0.00","",""
157,"byg:dacite_ridges",0.25,rain,"0.80","","COLD, CONIFEROUS, MOUNTAIN, OVERWORLD"
158,"byg:windswept_dunes",2.00,-,"0.00","","DRY, HOT, OVERWORLD, SANDY"
159,"byg:windswept_desert",2.00,-,"0.00","","DRY, HOT, OVERWORLD, SANDY"
160,"byg:ebony_woods",0.80,rain,"0.80","","DENSE, FOREST, OVERWORLD"
161,"byg:forgotten_forest",0.80,rain,"0.80","","FOREST, MAGICAL, OVERWORLD, RARE"
162,"byg:temperate_grove",0.75,rain,"0.80","","LUSH, OVERWORLD, PLAINS"
163,"byg:guiana_shield",0.95,rain,"0.90","","DENSE, FOREST, HOT, JUNGLE, MOUNTAIN, OVERWORLD"
164,"byg:howling_peaks",0.15,rain,"0.50","",""
165,"byg:jacaranda_forest",0.95,rain,"0.50","","FOREST, OVERWORLD"
166,"byg:maple_taiga",0.25,rain,"0.80","","COLD, FOREST, OVERWORLD"
167,"byg:coconino_meadow",0.80,rain,"0.80","","COLD, LUSH, OVERWORLD, PLAINS"
168,"byg:mojave_desert",2.00,-,"0.00","","DRY, HOT, OVERWORLD, SANDY"
169,"byg:cardinal_tundra",0.14,snow,"0.40","",""
170,"byg:orchard",0.80,rain,"0.80","","FOREST, LUSH, OVERWORLD, PLAINS"
171,"byg:prairie",0.80,rain,"0.20","","DRY, OVERWORLD, PLAINS"
172,"byg:red_oak_forest",0.80,rain,"0.90","","FOREST, OVERWORLD"
173,"byg:red_rock_valley",1.20,rain,"0.10","","DRY, HOT, MOUNTAIN, OVERWORLD"
174,"byg:rose_fields",0.80,rain,"0.40","","LUSH, OVERWORLD, PLAINS, RARE"
175,"byg:autumnal_forest",0.25,rain,"0.90","","COLD, FOREST, OVERWORLD"
176,"byg:autumnal_taiga",0.25,rain,"0.80","","COLD, CONIFEROUS, FOREST, OVERWORLD"
177,"byg:shattered_glacier",-0.50,snow,"0.90","","OVERWORLD, RARE, SNOWY"
178,"byg:firecracker_shrubland",2.00,rain,"0.40","","DRY, OVERWORLD, PLAINS, SPARSE"
179,"byg:sierra_badlands",1.20,rain,"0.10","","DRY, HOT, OVERWORLD, PLAINS"
180,"byg:skyris_vale",0.25,rain,"0.80","","FOREST, LUSH, MAGICAL, OVERWORLD, RARE"
181,"byg:redwood_thicket",0.90,rain,"0.90","","DENSE, FOREST, OVERWORLD, RARE"
182,"byg:frosted_taiga",-0.50,snow,"0.80","","CONIFEROUS, FOREST, OVERWORLD, SNOWY"
183,"byg:frosted_coniferous_forest",-0.50,snow,"0.80","","CONIFEROUS, FOREST, OVERWORLD, SNOWY"
184,"byg:fragment_forest",0.25,rain,"0.80","","DENSE, OVERWORLD, PLATEAU"
185,"byg:tropical_rainforest",0.95,rain,"0.90","",""
186,"byg:twilight_meadow",0.25,rain,"0.80","","COLD, MAGICAL, OVERWORLD, WASTELAND"
187,"byg:weeping_witch_forest",0.25,rain,"0.80","","COLD, FOREST, MAGICAL, OVERWORLD, RARE, SPOOKY"
188,"byg:white_mangrove_marshes",0.80,rain,"0.80","",""
189,"byg:temperate_rainforest",0.80,rain,"0.80","","DENSE, FOREST, MAGICAL, OVERWORLD"
190,"byg:zelkova_forest",0.25,rain,"0.80","","COLD, CONIFEROUS, FOREST, OVERWORLD"
191,"byg:windswept_beach",0.85,rain,"0.75","",""
192,"byg:rainbow_beach",0.85,rain,"0.75","",""
193,"byg:basalt_barrera",0.85,rain,"0.75","",""
194,"byg:dacite_shore",0.25,rain,"0.80","",""
195,"byg:brimstone_caverns",2.00,-,"0.00","",""
196,"byg:crimson_gardens",2.00,-,"0.00","",""
197,"byg:embur_bog",2.00,-,"0.00","",""
198,"byg:glowstone_gardens",2.00,-,"0.00","",""
199,"byg:magma_wastes",2.00,-,"0.00","",""
200,"byg:subzero_hypogeal",2.00,-,"0.00","",""
201,"byg:sythian_torrids",2.00,-,"0.00","",""
202,"byg:warped_desert",2.00,-,"0.00","",""
203,"byg:wailing_garth",2.00,-,"0.00","",""
204,"byg:arisian_undergrowth",2.00,-,"0.00","",""
205,"byg:weeping_mire",2.00,-,"0.00","",""
206,"byg:quartz_desert",2.00,-,"0.00","",""
207,"byg:ivis_fields",0.80,-,"0.80","",""
208,"byg:nightshade_forest",0.80,-,"0.40","",""
209,"byg:ethereal_islands",0.80,-,"0.80","",""
210,"byg:viscal_isles",0.80,-,"0.40","",""
211,"byg:bulbis_gardens",0.80,-,"0.80","",""
212,"byg:shulkren_forest",0.80,-,"0.40","",""
213,"byg:cryptic_wastes",0.80,-,"0.80","",""
214,"byg:imparius_grove",0.80,-,"0.80","",""
215,"terralith:shield",0.40,rain,"0.80","",""
216,"terralith:glacial_chasm",0.00,snow,"0.50","",""
217,"terralith:orchid_swamp",0.80,rain,"0.90","",""
218,"terralith:skylands_spring",0.50,rain,"0.50","",""
219,"terralith:skylands_winter",0.20,snow,"0.50","",""
220,"terralith:granite_cliffs",0.40,rain,"0.30","",""
221,"terralith:cave/deep_caves",0.60,rain,"0.30","",""
222,"terralith:gravel_desert",0.14,snow,"0.50","",""
223,"terralith:desert_spires",2.00,-,"0.00","",""
224,"terralith:scarlet_mountains",0.10,snow,"0.40","",""
225,"terralith:blooming_valley",0.70,rain,"0.80","",""
226,"terralith:bryce_canyon",2.00,-,"0.00","",""
227,"terralith:lavender_valley",0.70,rain,"0.80","",""
228,"terralith:cave/andesite_caves",1.00,rain,"0.30","",""
229,"terralith:skylands",0.50,rain,"0.50","",""
230,"terralith:moonlight_valley",0.70,rain,"0.80","",""
231,"terralith:yellowstone",0.25,rain,"0.80","",""
232,"terralith:cave/desert_caves",0.80,rain,"0.40","",""
233,"terralith:white_cliffs",0.40,rain,"0.30","",""
234,"terralith:caldera",0.45,rain,"0.80","",""
235,"terralith:fractured_savanna",1.10,-,"0.00","",""
236,"terralith:alpha_islands_winter",0.00,snow,"0.75","",""
237,"terralith:desert_canyon",2.00,-,"0.00","",""
238,"terralith:volcanic_crater",1.00,rain,"0.30","",""
239,"terralith:cave/thermal_caves",0.80,rain,"0.40","",""
240,"terralith:warped_mesa",2.00,-,"0.00","",""
241,"terralith:alpine_highlands",0.45,rain,"0.10","",""
242,"terralith:mountain_steppe",0.40,rain,"0.45","",""
243,"terralith:frozen_cliffs",0.00,snow,"0.50","",""
244,"terralith:stony_spires",0.70,rain,"0.30","",""
245,"terralith:amethyst_rainforest",0.95,rain,"0.90","",""
246,"terralith:cold_shrubland",0.14,rain,"0.00","",""
247,"terralith:blooming_plateau",0.50,rain,"0.80","",""
248,"terralith:cave/granite_caves",1.00,rain,"0.30","",""
249,"terralith:yosemite_cliffs",0.38,rain,"0.80","",""
250,"terralith:yosemite_lowlands",0.25,rain,"0.80","",""
251,"terralith:cloud_forest",0.25,rain,"0.80","",""
252,"terralith:white_mesa",2.00,-,"0.00","",""
253,"terralith:rocky_shrubland",0.14,rain,"0.00","",""
254,"terralith:valley_clearing",0.40,rain,"-0.50","",""
255,"terralith:cave/crystal_caves",1.00,rain,"0.30","",""
256,"terralith:sandstone_valley",2.00,-,"0.00","",""
257,"terralith:lush_valley",0.40,rain,"0.80","",""
258,"terralith:snowy_maple_forest",0.10,snow,"0.20","",""
259,"terralith:sakura_valley",0.70,rain,"0.80","",""
260,"terralith:volcanic_peaks",1.00,rain,"0.30","",""
261,"terralith:cave/diorite_caves",1.00,rain,"0.30","",""
262,"terralith:painted_mountains",1.00,rain,"0.30","",""
263,"terralith:steppe",0.40,rain,"-0.50","",""
264,"terralith:savanna_badlands",1.00,-,"0.00","",""
265,"terralith:alpha_islands",0.70,rain,"0.80","",""
266,"terralith:basalt_cliffs",0.50,rain,"0.30","",""
267,"terralith:moonlight_grove",0.70,rain,"0.80","",""
268,"terralith:cave/fungal_caves",1.00,rain,"0.30","",""
269,"terralith:sakura_grove",0.70,rain,"0.80","",""
270,"terralith:temperate_highlands",0.90,rain,"0.20","",""
271,"terralith:wintry_lowlands",-0.50,snow,"0.40","",""
272,"terralith:emerald_peaks",0.10,snow,"0.40","",""
273,"terralith:forested_highlands",0.36,rain,"0.20","",""
274,"terralith:windswept_spires",0.20,rain,"0.30","",""
275,"terralith:jungle_mountains",0.95,rain,"0.90","",""
276,"terralith:birch_taiga",0.22,rain,"0.20","",""
277,"terralith:skylands_summer",0.50,rain,"0.50","",""
278,"terralith:haze_mountain",0.30,rain,"0.60","",""
279,"terralith:savanna_slopes",1.00,-,"0.00","",""
280,"terralith:snowy_badlands",0.00,snow,"0.50","",""
281,"minecraft:deep_warm_ocean",0.50,rain,"0.50","",""
282,"terralith:skylands_autumn",0.50,rain,"0.50","",""
283,"terralith:amethyst_canyon",0.95,rain,"0.90","",""
284,"terralith:desert_oasis",2.00,-,"0.00","",""
285,"terralith:rocky_mountains",1.00,-,"0.30","",""
286,"terralith:siberian_taiga",0.30,rain,"1.20","",""
287,"terralith:alpine_grove",-0.20,snow,"0.80","",""
288,"terralith:cave/frostfire_caves",0.80,rain,"0.40","",""
289,"terralith:cave/ice_caves",1.00,rain,"0.30","",""
290,"terralith:highlands",0.40,rain,"0.40","",""
291,"terralith:ice_marsh",0.14,snow,"0.90","",""
292,"terralith:warm_river",0.50,rain,"0.50","",""
293,"terralith:ancient_sands",2.00,-,"0.00","",""
294,"terralith:lavender_forest",0.70,rain,"0.80","",""
295,"terralith:ashen_savanna",1.00,-,"0.00","",""
296,"terralith:shrubland",1.20,-,"0.00","",""
297,"terralith:siberian_grove",0.23,rain,"0.80","",""
298,"terralith:tropical_jungle",0.95,rain,"0.90","",""
299,"terralith:red_oasis",2.00,-,"0.00","",""
300,"terralith:arid_highlands",1.60,-,"0.10","",""
301,"terralith:brushland",1.20,-,"0.20","",""
302,"terralith:rocky_jungle",0.95,rain,"0.90","",""
303,"terralith:cave/tuff_caves",1.00,rain,"0.30","",""
304,"terralith:cave/infested_caves",1.00,rain,"0.30","",""
305,"terralith:gravel_beach",0.80,rain,"0.40","",""
306,"terralith:cave/mantle_caves",2.00,rain,"0.00","",""
307,"terralith:shield_clearing",0.40,rain,"-0.50","",""
308,"terralith:snowy_shield",0.10,rain,"0.80","",""
309,"terralith:mirage_isles",0.70,rain,"0.80","",""
310,"terralith:wintry_forest",-0.50,snow,"0.40","",""
311,"terralith:hot_shrubland",0.80,rain,"0.40","",""
